:START_ID,:END_ID,:TYPE
STD_CHOSA,CH_CHOSA_1,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_2,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_3,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_4,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_5,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_6,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_7,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_8,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_9,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_10,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_11,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_12,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_13,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_14,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_15,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_16,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_17,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_18,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_19,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_20,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_21,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_22,HAS_CHAPTER
STD_CHOSA,CH_CHOSA_23,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_1,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_2,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_3,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_4,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_5,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_6,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_7,HAS_CHAPTER
STD_KEIKAKU_KIHON,CH_KEIKAKU_KIHON_8,HAS_CHAPTER
STD_KEIKAKU_SHISETSU,CH_KEIKAKU_SHISETSU_1,HAS_CHAPTER
STD_KEIKAKU_SHISETSU,CH_KEIKAKU_SHISETSU_2,HAS_CHAPTER
STD_KEIKAKU_SHISETSU,CH_KEIKAKU_SHISETSU_3,HAS_CHAPTER
STD_KEIKAKU_SHISETSU,CH_KEIKAKU_SHISETSU_4,HAS_CHAPTER
STD_KEIKAKU_SHISETSU,CH_KEIKAKU_SHISETSU_5,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_1,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_2,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_3,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_4,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_5,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_6,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_7,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_8,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_9,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_10,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_11,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_12,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_13,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_14,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_15,HAS_CHAPTER
STD_SEKKEI,CH_SEKKEI_16,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_1,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_2,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_3,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_4,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_5,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_6,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_7,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_8,HAS_CHAPTER
STD_IJIKANRI_KASEN,CH_IJIKANRI_KASEN_9,HAS_CHAPTER
STD_IJIKANRI_DAM,CH_IJIKANRI_DAM_1,HAS_CHAPTER
STD_IJIKANRI_DAM,CH_IJIKANRI_DAM_2,HAS_CHAPTER
STD_IJIKANRI_DAM,CH_IJIKANRI_DAM_3,HAS_CHAPTER
